"Sensor: 1_AIT_001_PV, Media: 169.1, Desviacion Tipica: 0.1, Minimo: 168.9, P25: 169.1, P75: 169.2, Maximo: 169.3, varianza: 0.0, skew: 169.2, kurt: 0.1"
"Sensor: 2_FIC_301_PV, Media: 0.1, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.1, Maximo: 0.1, varianza: 0.0, skew: 0.1, kurt: -1.9"
"Sensor: 2_FIC_301_SP, Media: 0.1, Desviacion Tipica: 0.0, Minimo: 0.1, P25: 0.1, P75: 0.1, Maximo: 0.1, varianza: 0.0, skew: 0.1, kurt: -1.8"
"Sensor: 2_FIC_401_CO, Media: 20.1, Desviacion Tipica: 5.0, Minimo: 7.8, P25: 16.9, P75: 25.0, Maximo: 28.0, varianza: 25.3, skew: 25.0, kurt: -0.7"
"Sensor: 2_FIC_401_PV, Media: 0.1, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.1, P75: 0.1, Maximo: 0.5, varianza: 0.0, skew: 0.1, kurt: 61.2"
"Sensor: 2_FIC_401_SP, Media: 0.1, Desviacion Tipica: 0.0, Minimo: 0.1, P25: 0.1, P75: 0.1, Maximo: 0.1, varianza: 0.0, skew: 0.1, kurt: -1.8"
"Sensor: 2_FIC_501_CO, Media: 95.1, Desviacion Tipica: 10.7, Minimo: 58.4, P25: 100.0, P75: 100.0, Maximo: 100.0, varianza: 115.0, skew: 100.0, kurt: 3.4"
"Sensor: 2_FIC_501_PV, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 0.0"
"Sensor: 2_FIC_501_SP, Media: 0.1, Desviacion Tipica: 0.0, Minimo: 0.1, P25: 0.1, P75: 0.1, Maximo: 0.1, varianza: 0.0, skew: 0.1, kurt: -1.8"
"Sensor: 2_FIC_601_CO, Media: 20.8, Desviacion Tipica: 7.7, Minimo: 7.2, P25: 18.1, P75: 20.0, Maximo: 49.1, varianza: 58.9, skew: 20.0, kurt: 4.0"
"Sensor: 2_FIC_601_PV, Media: 0.1, Desviacion Tipica: 0.1, Minimo: 0.1, P25: 0.1, P75: 0.1, Maximo: 0.5, varianza: 0.0, skew: 0.1, kurt: 30.8"
"Sensor: 2_FIC_601_SP, Media: 0.1, Desviacion Tipica: 0.0, Minimo: 0.1, P25: 0.1, P75: 0.1, Maximo: 0.1, varianza: 0.0, skew: 0.1, kurt: 0.0"
"Sensor: 2_FIT_001_PV, Media: 0.5, Desviacion Tipica: 0.9, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 2.3, varianza: 0.9, skew: 0.0, kurt: -0.1"
"Sensor: 2_FIT_002_PV, Media: 0.4, Desviacion Tipica: 0.2, Minimo: 0.0, P25: 0.3, P75: 0.6, Maximo: 0.6, varianza: 0.0, skew: 0.6, kurt: 0.4"
"Sensor: 2_FIT_003_PV, Media: 0.1, Desviacion Tipica: 0.4, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 4.2, varianza: 0.2, skew: 0.0, kurt: 102.8"
"Sensor: 2_FQ_101_PV, Media: 0.1, Desviacion Tipica: 0.1, Minimo: 0.1, P25: 0.1, P75: 0.1, Maximo: 0.8, varianza: 0.0, skew: 0.1, kurt: 74.4"
"Sensor: 2_FQ_201_PV, Media: 0.1, Desviacion Tipica: 0.0, Minimo: 0.1, P25: 0.1, P75: 0.1, Maximo: 0.1, varianza: 0.0, skew: 0.1, kurt: -1.6"
"Sensor: 2_FQ_301_PV, Media: 0.1, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.1, Maximo: 0.1, varianza: 0.0, skew: 0.1, kurt: -1.9"
"Sensor: 2_FQ_401_PV, Media: 0.1, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.1, P75: 0.1, Maximo: 0.5, varianza: 0.0, skew: 0.1, kurt: 57.7"
"Sensor: 2_FQ_501_PV, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 0.0"
"Sensor: 2_FQ_601_PV, Media: 0.1, Desviacion Tipica: 0.1, Minimo: 0.1, P25: 0.1, P75: 0.1, Maximo: 0.5, varianza: 0.0, skew: 0.1, kurt: 32.0"
"Sensor: 2_LS_001_AL, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 0.0"
"Sensor: 2_LS_002_AL, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 0.0"
"Sensor: 2_LS_101_AH, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 0.0"
"Sensor: 2_LS_101_AL, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 0.0"
"Sensor: 2_LS_201_AH, Media: 0.0, Desviacion Tipica: 0.2, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 1.0, varianza: 0.0, skew: 0.0, kurt: 36.6"
"Sensor: 2_LS_201_AL, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 0.0"
"Sensor: 2_LS_301_AH, Media: 0.0, Desviacion Tipica: 0.1, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 1.0, varianza: 0.0, skew: 0.0, kurt: 57.4"
"Sensor: 2_LS_301_AL, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 0.0"
"Sensor: 2_LS_401_AH, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 0.0"
"Sensor: 2_LS_401_AL, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 0.0"
"Sensor: 2_LS_501_AH, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 0.0"
"Sensor: 2_LS_501_AL, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 0.0"
"Sensor: 2_LS_601_AH, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 0.0"
"Sensor: 2_LS_601_AL, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 0.0"
"Sensor: 2_LT_001_PV, Media: 69.8, Desviacion Tipica: 0.1, Minimo: 69.5, P25: 69.7, P75: 69.8, Maximo: 70.0, varianza: 0.0, skew: 69.8, kurt: 0.1"
"Sensor: 2_LT_002_PV, Media: 74.9, Desviacion Tipica: 3.0, Minimo: 68.7, P25: 72.4, P75: 77.2, Maximo: 81.4, varianza: 9.1, skew: 77.2, kurt: -0.8"
"Sensor: 2_MCV_007_CO, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 0.0"
"Sensor: 2_MCV_101_CO, Media: 20.8, Desviacion Tipica: 7.7, Minimo: 7.2, P25: 18.1, P75: 20.0, Maximo: 49.1, varianza: 59.0, skew: 20.0, kurt: 4.0"
"Sensor: 2_MCV_201_CO, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 0.0"
"Sensor: 2_MCV_301_CO, Media: 20.1, Desviacion Tipica: 5.0, Minimo: 7.8, P25: 16.9, P75: 25.0, Maximo: 28.0, varianza: 25.3, skew: 25.0, kurt: -0.7"
"Sensor: 2_MCV_401_CO, Media: 11.4, Desviacion Tipica: 10.9, Minimo: 0.0, P25: 0.0, P75: 20.2, Maximo: 26.6, varianza: 118.9, skew: 20.2, kurt: -1.9"
"Sensor: 2_MCV_501_CO, Media: 15.4, Desviacion Tipica: 12.3, Minimo: 0.0, P25: 0.0, P75: 24.8, Maximo: 31.0, varianza: 152.5, skew: 24.8, kurt: -1.7"
"Sensor: 2_MCV_601_CO, Media: 23.5, Desviacion Tipica: 4.8, Minimo: 10.0, P25: 19.8, P75: 28.0, Maximo: 29.0, varianza: 23.0, skew: 28.0, kurt: 0.1"
"Sensor: 2_MV_001_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 2_MV_002_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 2_MV_003_STATUS, Media: 1.2, Desviacion Tipica: 0.4, Minimo: 0.5, P25: 1.0, P75: 1.0, Maximo: 2.0, varianza: 0.2, skew: 1.0, kurt: -0.2"
"Sensor: 2_MV_004_STATUS, Media: 2.0, Desviacion Tipica: 0.0, Minimo: 2.0, P25: 2.0, P75: 2.0, Maximo: 2.0, varianza: 0.0, skew: 2.0, kurt: 0.0"
"Sensor: 2_MV_005_STATUS, Media: 2.0, Desviacion Tipica: 0.0, Minimo: 2.0, P25: 2.0, P75: 2.0, Maximo: 2.0, varianza: 0.0, skew: 2.0, kurt: 0.0"
"Sensor: 2_MV_006_STATUS, Media: 1.0, Desviacion Tipica: 0.2, Minimo: 0.0, P25: 1.0, P75: 1.0, Maximo: 2.0, varianza: 0.0, skew: 1.0, kurt: 28.2"
"Sensor: 2_MV_009_STATUS, Media: 2.0, Desviacion Tipica: 0.0, Minimo: 2.0, P25: 2.0, P75: 2.0, Maximo: 2.0, varianza: 0.0, skew: 2.0, kurt: 0.0"
"Sensor: 2_MV_101_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 2_MV_201_STATUS, Media: 1.4, Desviacion Tipica: 0.5, Minimo: 0.0, P25: 1.0, P75: 2.0, Maximo: 2.0, varianza: 0.2, skew: 2.0, kurt: -1.3"
"Sensor: 2_MV_301_STATUS, Media: 1.4, Desviacion Tipica: 0.5, Minimo: 0.0, P25: 1.0, P75: 2.0, Maximo: 2.0, varianza: 0.3, skew: 2.0, kurt: -1.6"
"Sensor: 2_MV_401_STATUS, Media: 1.0, Desviacion Tipica: 0.1, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.5, varianza: 0.0, skew: 1.0, kurt: 120.0"
"Sensor: 2_MV_501_STATUS, Media: 2.0, Desviacion Tipica: 0.0, Minimo: 2.0, P25: 2.0, P75: 2.0, Maximo: 2.0, varianza: 0.0, skew: 2.0, kurt: 0.0"
"Sensor: 2_MV_601_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 2_P_001_STATUS, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 0.0"
"Sensor: 2_P_002_STATUS, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 0.0"
"Sensor: 2_P_003_SPEED, Media: 0.7, Desviacion Tipica: 4.4, Minimo: -0.0, P25: -0.0, P75: -0.0, Maximo: 37.5, varianza: 19.4, skew: -0.0, kurt: 51.8"
"Sensor: 2_P_003_STATUS, Media: 1.0, Desviacion Tipica: 0.1, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 2.0, varianza: 0.0, skew: 1.0, kurt: 45.9"
"Sensor: 2_P_004_SPEED, Media: 0.0, Desviacion Tipica: 0.0, Minimo: -0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 37.2"
"Sensor: 2_P_004_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 2_PIC_003_CO, Media: 49.2, Desviacion Tipica: 3.5, Minimo: 29.8, P25: 50.0, P75: 50.0, Maximo: 50.0, varianza: 12.3, skew: 50.0, kurt: 19.2"
"Sensor: 2_PIC_003_PV, Media: 0.1, Desviacion Tipica: 0.3, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 1.9, varianza: 0.1, skew: 0.0, kurt: 22.0"
"Sensor: 2_PIC_003_SP, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 2_PIT_001_PV, Media: 153.1, Desviacion Tipica: 1.7, Minimo: 138.9, P25: 152.4, P75: 154.1, Maximo: 155.1, varianza: 2.9, skew: 154.1, kurt: 40.1"
"Sensor: 2_PIT_002_PV, Media: 90.7, Desviacion Tipica: 8.5, Minimo: 0.0, P25: 91.4, P75: 92.5, Maximo: 93.2, varianza: 71.9, skew: 92.5, kurt: 112.5"
"Sensor: 2_PIT_003_PV, Media: 0.1, Desviacion Tipica: 0.3, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 1.9, varianza: 0.1, skew: 0.0, kurt: 20.9"
"Sensor: 2_SV_101_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 2_SV_201_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 2_SV_301_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 2_SV_401_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 2_SV_501_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 2_SV_601_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 2A_AIT_001_PV, Media: 0.2, Desviacion Tipica: 0.0, Minimo: 0.2, P25: 0.2, P75: 0.2, Maximo: 0.2, varianza: 0.0, skew: 0.2, kurt: 0.0"
"Sensor: 2A_AIT_002_PV, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 0.0"
"Sensor: 2A_AIT_003_PV, Media: 8.6, Desviacion Tipica: 0.0, Minimo: 8.5, P25: 8.6, P75: 8.6, Maximo: 8.6, varianza: 0.0, skew: 8.6, kurt: 19.9"
"Sensor: 2A_AIT_004_PV, Media: 478.6, Desviacion Tipica: 0.3, Minimo: 478.1, P25: 478.5, P75: 478.6, Maximo: 479.9, varianza: 0.1, skew: 478.6, kurt: 15.3"
"Sensor: 2B_AIT_001_PV, Media: 0.2, Desviacion Tipica: 0.0, Minimo: 0.2, P25: 0.2, P75: 0.2, Maximo: 0.2, varianza: 0.0, skew: 0.2, kurt: -1.4"
"Sensor: 2B_AIT_002_PV, Media: 9.1, Desviacion Tipica: 0.1, Minimo: 9.0, P25: 9.1, P75: 9.2, Maximo: 9.2, varianza: 0.0, skew: 9.2, kurt: -0.5"
"Sensor: 2B_AIT_003_PV, Media: 8.6, Desviacion Tipica: 0.0, Minimo: 8.6, P25: 8.6, P75: 8.6, Maximo: 8.6, varianza: 0.0, skew: 8.6, kurt: -1.2"
"Sensor: 2B_AIT_004_PV, Media: 479.0, Desviacion Tipica: 0.1, Minimo: 478.9, P25: 479.0, P75: 479.1, Maximo: 479.3, varianza: 0.0, skew: 479.1, kurt: 2.2"
"Sensor: 3_AIT_001_PV, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 0.0"
"Sensor: 3_AIT_002_PV, Media: 8277.0, Desviacion Tipica: 8.6, Minimo: 8214.8, P25: 8279.1, P75: 8279.1, Maximo: 8279.6, varianza: 74.1, skew: 8279.1, kurt: 31.9"
"Sensor: 3_AIT_003_PV, Media: 6.2, Desviacion Tipica: 3.8, Minimo: 0.0, P25: 2.8, P75: 9.7, Maximo: 13.2, varianza: 14.1, skew: 9.7, kurt: -1.2"
"Sensor: 3_AIT_004_PV, Media: 738.9, Desviacion Tipica: 223.1, Minimo: 297.1, P25: 536.5, P75: 956.3, Maximo: 1168.0, varianza: 49760.9, skew: 956.3, kurt: -1.1"
"Sensor: 3_AIT_005_PV, Media: 0.7, Desviacion Tipica: 0.1, Minimo: 0.6, P25: 0.6, P75: 0.7, Maximo: 0.9, varianza: 0.0, skew: 0.7, kurt: 3.3"
"Sensor: 3_FIT_001_PV, Media: 0.7, Desviacion Tipica: 0.0, Minimo: 0.7, P25: 0.7, P75: 0.7, Maximo: 0.8, varianza: 0.0, skew: 0.7, kurt: -0.7"
"Sensor: 3_LS_001_AL, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 3_LT_001_PV, Media: 65.1, Desviacion Tipica: 0.3, Minimo: 64.4, P25: 65.0, P75: 65.3, Maximo: 65.5, varianza: 0.1, skew: 65.3, kurt: 0.5"
"Sensor: 3_MV_001_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 3_MV_002_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 3_MV_003_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 3_P_001_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 3_P_002_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 3_P_003_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 3_P_004_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: LEAK_DIFF_PRESSURE, Media: 62.7, Desviacion Tipica: 7.5, Minimo: 59.5, P25: 60.7, P75: 62.8, Maximo: 134.2, varianza: 56.2, skew: 62.8, kurt: 75.0"
"Sensor: PLANT_START_STOP_LOG, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: TOTAL_CONS_REQUIRED_FLOW, Media: 0.5, Desviacion Tipica: 0.1, Minimo: 0.3, P25: 0.3, P75: 0.5, Maximo: 0.5, varianza: 0.0, skew: 0.5, kurt: -1.8"
