"Sensor: 1_AIT_001_PV, Media: 167.4, Desviacion Tipica: 2.2, Minimo: 162.6, P25: 166.5, P75: 169.0, Maximo: 172.6, varianza: 4.9, skew: 169.0, kurt: -0.3"
"Sensor: 2_LS_101_AH, Media: 0.0, Desviacion Tipica: 0.1, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 1.0, varianza: 0.0, skew: 0.0, kurt: 471.4"
"Sensor: 2_LS_101_AL, Media: 0.0, Desviacion Tipica: 0.1, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 1.0, varianza: 0.0, skew: 0.0, kurt: 242.4"
"Sensor: 2_LS_201_AH, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 1.0, varianza: 0.0, skew: 0.0, kurt: 687.9"
"Sensor: 2_LS_201_AL, Media: 0.0, Desviacion Tipica: 0.1, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 1.0, varianza: 0.0, skew: 0.0, kurt: 388.3"
"Sensor: 2_LS_301_AH, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 1.0, varianza: 0.0, skew: 0.0, kurt: 568.7"
"Sensor: 2_LS_301_AL, Media: 0.0, Desviacion Tipica: 0.1, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 1.0, varianza: 0.0, skew: 0.0, kurt: 411.9"
"Sensor: 2_LS_401_AH, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 1.0, varianza: 0.0, skew: 0.0, kurt: 620.3"
"Sensor: 2_LS_401_AL, Media: 0.0, Desviacion Tipica: 0.1, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 1.0, varianza: 0.0, skew: 0.0, kurt: 272.9"
"Sensor: 2_LS_501_AH, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 1.0, varianza: 0.0, skew: 0.0, kurt: 484.5"
"Sensor: 2_LS_501_AL, Media: 0.0, Desviacion Tipica: 0.1, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 1.0, varianza: 0.0, skew: 0.0, kurt: 285.5"
"Sensor: 2_LS_601_AH, Media: 0.0, Desviacion Tipica: 0.1, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 1.0, varianza: 0.0, skew: 0.0, kurt: 328.5"
"Sensor: 2_LS_601_AL, Media: 0.0, Desviacion Tipica: 0.1, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 1.0, varianza: 0.0, skew: 0.0, kurt: 359.6"
"Sensor: 2_LT_001_PV, Media: 70.3, Desviacion Tipica: 0.7, Minimo: 69.3, P25: 69.7, P75: 71.0, Maximo: 71.5, varianza: 0.4, skew: 71.0, kurt: -1.6"
"Sensor: 2_LT_002_PV, Media: 75.5, Desviacion Tipica: 3.4, Minimo: 67.3, P25: 72.6, P75: 78.2, Maximo: 82.9, varianza: 11.3, skew: 78.2, kurt: -1.0"
"Sensor: 2_MCV_007_CO, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 0.0"
"Sensor: 2_MCV_101_CO, Media: 14.1, Desviacion Tipica: 13.6, Minimo: 0.0, P25: 0.0, P75: 23.8, Maximo: 100.0, varianza: 183.5, skew: 23.8, kurt: 1.8"
"Sensor: 2_MCV_201_CO, Media: 11.4, Desviacion Tipica: 16.5, Minimo: 0.0, P25: 0.0, P75: 19.4, Maximo: 100.0, varianza: 271.2, skew: 19.4, kurt: 10.9"
"Sensor: 2_MCV_301_CO, Media: 14.6, Desviacion Tipica: 22.4, Minimo: 0.0, P25: 0.0, P75: 22.4, Maximo: 100.0, varianza: 501.3, skew: 22.4, kurt: 6.2"
"Sensor: 2_MCV_401_CO, Media: 9.9, Desviacion Tipica: 15.7, Minimo: 0.0, P25: 0.0, P75: 19.7, Maximo: 100.0, varianza: 247.4, skew: 19.7, kurt: 9.0"
"Sensor: 2_MCV_501_CO, Media: 11.2, Desviacion Tipica: 15.5, Minimo: 0.0, P25: 0.0, P75: 22.3, Maximo: 100.0, varianza: 240.7, skew: 22.3, kurt: 4.6"
"Sensor: 2_MCV_601_CO, Media: 14.0, Desviacion Tipica: 20.0, Minimo: 0.0, P25: 0.0, P75: 25.1, Maximo: 100.0, varianza: 399.6, skew: 25.1, kurt: 4.2"
"Sensor: 2_MV_001_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 2_MV_002_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 2_MV_003_STATUS, Media: 1.2, Desviacion Tipica: 0.4, Minimo: 0.0, P25: 1.0, P75: 1.0, Maximo: 2.0, varianza: 0.2, skew: 1.0, kurt: 0.1"
"Sensor: 2_MV_004_STATUS, Media: 2.0, Desviacion Tipica: 0.0, Minimo: 2.0, P25: 2.0, P75: 2.0, Maximo: 2.0, varianza: 0.0, skew: 2.0, kurt: 0.0"
"Sensor: 2_MV_005_STATUS, Media: 2.0, Desviacion Tipica: 0.0, Minimo: 2.0, P25: 2.0, P75: 2.0, Maximo: 2.0, varianza: 0.0, skew: 2.0, kurt: 0.0"
"Sensor: 2_MV_006_STATUS, Media: 1.1, Desviacion Tipica: 0.4, Minimo: 0.0, P25: 1.0, P75: 1.0, Maximo: 2.0, varianza: 0.1, skew: 1.0, kurt: 2.5"
"Sensor: 2_MV_009_STATUS, Media: 2.0, Desviacion Tipica: 0.0, Minimo: 2.0, P25: 2.0, P75: 2.0, Maximo: 2.0, varianza: 0.0, skew: 2.0, kurt: 0.0"
"Sensor: 2_MV_101_STATUS, Media: 1.6, Desviacion Tipica: 0.5, Minimo: 0.0, P25: 1.0, P75: 2.0, Maximo: 2.0, varianza: 0.2, skew: 2.0, kurt: -1.9"
"Sensor: 2_MV_201_STATUS, Media: 1.6, Desviacion Tipica: 0.5, Minimo: 0.0, P25: 1.0, P75: 2.0, Maximo: 2.0, varianza: 0.2, skew: 2.0, kurt: -1.9"
"Sensor: 2_MV_301_STATUS, Media: 1.6, Desviacion Tipica: 0.5, Minimo: 0.0, P25: 1.0, P75: 2.0, Maximo: 2.0, varianza: 0.2, skew: 2.0, kurt: -1.7"
"Sensor: 2_MV_401_STATUS, Media: 1.5, Desviacion Tipica: 0.5, Minimo: 0.0, P25: 1.0, P75: 2.0, Maximo: 2.0, varianza: 0.2, skew: 2.0, kurt: -2.0"
"Sensor: 2_MV_501_STATUS, Media: 1.5, Desviacion Tipica: 0.5, Minimo: 0.0, P25: 1.0, P75: 2.0, Maximo: 2.0, varianza: 0.2, skew: 2.0, kurt: -2.0"
"Sensor: 2_MV_601_STATUS, Media: 1.4, Desviacion Tipica: 0.5, Minimo: 0.0, P25: 1.0, P75: 2.0, Maximo: 2.0, varianza: 0.2, skew: 2.0, kurt: -1.8"
"Sensor: 2_P_001_STATUS, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 0.0"
"Sensor: 2_P_002_STATUS, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 0.0"
"Sensor: 2_P_003_SPEED, Media: 3.1, Desviacion Tipica: 7.9, Minimo: -0.1, P25: -0.0, P75: -0.0, Maximo: 41.6, varianza: 62.9, skew: -0.0, kurt: 3.5"
"Sensor: 2_P_003_STATUS, Media: 1.1, Desviacion Tipica: 0.3, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 2.0, varianza: 0.1, skew: 1.0, kurt: 2.3"
"Sensor: 2_P_004_SPEED, Media: 0.0, Desviacion Tipica: 0.0, Minimo: -0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 2.8"
"Sensor: 2_P_004_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 2_PIC_003_CO, Media: 46.6, Desviacion Tipica: 8.1, Minimo: 16.4, P25: 50.0, P75: 50.0, Maximo: 50.0, varianza: 65.6, skew: 50.0, kurt: 2.6"
"Sensor: 2_PIC_003_PV, Media: 0.2, Desviacion Tipica: 0.4, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 3.4, varianza: 0.2, skew: 0.0, kurt: 5.1"
"Sensor: 2_PIC_003_SP, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 2_PIT_001_PV, Media: 152.9, Desviacion Tipica: 1.9, Minimo: 133.2, P25: 151.9, P75: 154.1, Maximo: 158.7, varianza: 3.5, skew: 154.1, kurt: 17.1"
"Sensor: 2_PIT_002_PV, Media: 89.8, Desviacion Tipica: 8.1, Minimo: 0.0, P25: 89.5, P75: 93.3, Maximo: 96.3, varianza: 65.3, skew: 93.3, kurt: 57.4"
"Sensor: 2_PIT_003_PV, Media: 0.2, Desviacion Tipica: 0.4, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 3.2, varianza: 0.2, skew: 0.0, kurt: 5.0"
"Sensor: 2_SV_101_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 2_SV_201_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 2_SV_301_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 2_SV_401_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 2_SV_501_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 2_SV_601_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 2A_AIT_001_PV, Media: 0.2, Desviacion Tipica: 0.0, Minimo: 0.2, P25: 0.2, P75: 0.2, Maximo: 0.2, varianza: 0.0, skew: 0.2, kurt: -1.0"
"Sensor: 2A_AIT_002_PV, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 2.3, varianza: 0.0, skew: 0.0, kurt: 2523.2"
"Sensor: 2A_AIT_003_PV, Media: 8.6, Desviacion Tipica: 0.1, Minimo: 8.4, P25: 8.5, P75: 8.6, Maximo: 8.7, varianza: 0.0, skew: 8.6, kurt: -1.1"
"Sensor: 2A_AIT_004_PV, Media: 482.7, Desviacion Tipica: 3.9, Minimo: 474.0, P25: 480.2, P75: 484.5, Maximo: 491.3, varianza: 15.4, skew: 484.5, kurt: -0.5"
"Sensor: 2B_AIT_001_PV, Media: 0.2, Desviacion Tipica: 0.0, Minimo: 0.2, P25: 0.2, P75: 0.2, Maximo: 0.2, varianza: 0.0, skew: 0.2, kurt: 0.3"
"Sensor: 2B_AIT_002_PV, Media: 9.1, Desviacion Tipica: 0.1, Minimo: 8.6, P25: 9.0, P75: 9.1, Maximo: 10.8, varianza: 0.0, skew: 9.1, kurt: 18.7"
"Sensor: 2B_AIT_003_PV, Media: 8.5, Desviacion Tipica: 0.1, Minimo: 8.4, P25: 8.5, P75: 8.6, Maximo: 8.7, varianza: 0.0, skew: 8.6, kurt: -0.4"
"Sensor: 2B_AIT_004_PV, Media: 487.2, Desviacion Tipica: 6.6, Minimo: 0.0, P25: 484.0, P75: 490.9, Maximo: 498.0, varianza: 43.6, skew: 490.9, kurt: 2966.3"
"Sensor: 3_AIT_001_PV, Media: 0.0, Desviacion Tipica: 0.0, Minimo: 0.0, P25: 0.0, P75: 0.0, Maximo: 0.0, varianza: 0.0, skew: 0.0, kurt: 0.0"
"Sensor: 3_AIT_002_PV, Media: 6571.9, Desviacion Tipica: 3022.5, Minimo: 0.0, P25: 7061.4, P75: 8279.1, Maximo: 8280.8, varianza: 9135731.0, skew: 8279.1, kurt: 0.8"
"Sensor: 3_AIT_003_PV, Media: 6.1, Desviacion Tipica: 3.6, Minimo: 0.0, P25: 3.3, P75: 8.5, Maximo: 19.9, varianza: 13.1, skew: 8.5, kurt: -0.7"
"Sensor: 3_AIT_004_PV, Media: 731.7, Desviacion Tipica: 228.9, Minimo: -86.5, P25: 570.8, P75: 895.6, Maximo: 1978.5, varianza: 52408.8, skew: 895.6, kurt: -0.5"
"Sensor: 3_AIT_005_PV, Media: 0.6, Desviacion Tipica: 0.2, Minimo: 0.1, P25: 0.5, P75: 0.7, Maximo: 1.0, varianza: 0.0, skew: 0.7, kurt: -0.4"
"Sensor: 3_FIT_001_PV, Media: 0.5, Desviacion Tipica: 0.2, Minimo: 0.0, P25: 0.6, P75: 0.7, Maximo: 1.0, varianza: 0.1, skew: 0.7, kurt: 0.9"
"Sensor: 3_LS_001_AL, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 3_LT_001_PV, Media: 65.3, Desviacion Tipica: 1.3, Minimo: 64.0, P25: 64.3, P75: 66.1, Maximo: 69.2, varianza: 1.8, skew: 66.1, kurt: 0.1"
"Sensor: 3_MV_001_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 3_MV_002_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 3_MV_003_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 3_P_001_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 3_P_002_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 3_P_003_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: 3_P_004_STATUS, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: LEAK_DIFF_PRESSURE, Media: 63.1, Desviacion Tipica: 6.7, Minimo: 58.8, P25: 60.5, P75: 63.1, Maximo: 140.9, varianza: 44.2, skew: 63.1, kurt: 64.2"
"Sensor: PLANT_START_STOP_LOG, Media: 1.0, Desviacion Tipica: 0.0, Minimo: 1.0, P25: 1.0, P75: 1.0, Maximo: 1.0, varianza: 0.0, skew: 1.0, kurt: 0.0"
"Sensor: TOTAL_CONS_REQUIRED_FLOW, Media: 0.5, Desviacion Tipica: 0.5, Minimo: 0.0, P25: 0.1, P75: 0.7, Maximo: 2.2, varianza: 0.2, skew: 0.7, kurt: 1.9"
